offense_code,offense_name,crime_against,ct_flag,hc_flag,hc_code,offense_category_name,offense_group
09A,Murder and Nonnegligent Manslaughter,Person,f,t,01,Homicide Offenses,A
09B,Negligent Manslaughter,Person,f,t,  ,Homicide Offenses,A
09C,Justifiable Homicide,Person,f,f,  ,Homicide Offenses,A
11A,Rape,Person,f,t,02,Sex Offenses,A
11B,Sodomy,Person,f,t,02,Sex Offenses,A
11C,Sexual Assault With An Object,Person,f,t,02,Sex Offenses,A
11D,Fondling,Person,f,t,02,Sex Offenses,A
120,Robbery,Property,t,t,03,Robbery,A
13A,Aggravated Assault,Person,f,t,04,Assault Offenses,A
220,Burglary/Breaking & Entering,Property,t,t,05,Burglary/Breaking & Entering,A
240,Motor Vehicle Theft,Property,t,t,07,Motor Vehicle Theft,A
23A,Pocket-picking,Property,f,f,  ,Larceny/Theft Offenses,A
23B,Purse-snatching,Property,f,f,  ,Larceny/Theft Offenses,A
23C,Shoplifting,Property,f,f,  ,Larceny/Theft Offenses,A
23D,Theft From Building,Property,t,f,  ,Larceny/Theft Offenses,A
23E,Theft From Coin-Operated Machine or Device,Property,f,f,  ,Larceny/Theft Offenses,A
23F,Theft From Motor Vehicle,Property,t,f,  ,Larceny/Theft Offenses,A
23G,Theft of Motor Vehicle Parts or Accessories,Property,f,f,  ,Larceny/Theft Offenses,A
23H,All Other Larceny,Property,t,f,  ,Larceny/Theft Offenses,A
23*,Not Specified,Property,f,t,06,Larceny/Theft Offenses,A
13B,Simple Assault,Person,f,t,09,Assault Offenses,A
13C,Intimidation,Person,f,t,10,Assault Offenses,A
100,Kidnapping/Abduction,Person,f,t,  ,Kidnapping/Abduction,A
200,Arson,Property,f,t,08,Arson,A
210,Extortion/Blackmail,Property,t,t,  ,Extortion/Blackmail,A
250,Counterfeiting/Forgery,Property,f,t,  ,Counterfeiting/Forgery,A
26A,False Pretenses/Swindle/Confidence Game,Property,t,t,  ,Fraud Offenses,A
26B,Credit Card/Automated Teller Machine Fraud,Property,t,t,  ,Fraud Offenses,A
26C,Impersonation,Property,t,t,  ,Fraud Offenses,A
26D,Welfare Fraud,Property,f,t,  ,Fraud Offenses,A
26E,Wire Fraud,Property,t,t,  ,Fraud Offenses,A
26F,Identity Theft,Property,t,t,  ,Fraud Offenses,A
26G,Hacking/Computer Invasion,Property,t,t,  ,Fraud Offenses,A
270,Embezzlement,Property,t,t,  ,Embezzlement,A
280,Stolen Property Offenses,Property,f,t,  ,Stolen Property Offenses,A
290,Destruction/Damage/Vandalism of Property,Property,f,t,11,Destruction/Damage/Vandalism of Property,A
35A,Drug/Narcotic Violations,Society,f,t,  ,Drug/Narcotic Offenses,A
35B,Drug Equipment Violations,Society,f,t,  ,Drug/Narcotic Offenses,A
36A,Incest,Person,f,t,  ,"Sex Offenses, Non-forcible",A
