data_year,victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,age_range_low_num,age_code_range_high
2021,147277785,134025398,1,3,,,,104,NS,X,99,50,,,
2021,147277784,134025397,1,4,,,,18,15,F,10,20,R,15,00
2021,149086405,135605908,2,4,,,,52,49,M,10,20,R,49,00
2021,149086404,135605908,1,4,,,,66,63,F,10,20,R,63,00
2021,154398884,140255697,1,4,,,,60,57,M,10,20,R,57,
2021,149088508,135612860,1,4,,,,33,30,F,10,50,R,30,00
2021,149088507,135612859,1,4,,,,50,47,F,10,20,R,47,00
2021,150298530,136677229,1,1,,,,104,NS,X,99,50,,,
2021,151933682,138105092,1,1,,,,104,NS,X,99,50,,,
2021,150298529,136677228,1,1,,,,104,NS,X,99,50,,,
2021,154398887,140255700,1,4,,,,66,63,M,10,20,R,63,
2021,157191557,142697849,1,4,,,,18,15,F,10,20,,15,
2021,151933685,138105095,1,4,,,,60,57,M,10,20,R,57,
2021,154398889,140255702,1,4,,,,67,64,M,10,50,R,64,
2021,163945425,148621482,1,4,,,,36,33,M,10,20,,33,
2021,164084907,148745384,1,4,,,,6,03,F,10,50,,03,
2021,152436410,138545478,1,4,,,,58,55,M,10,20,N,55,
2021,163947288,148623158,1,4,,,,29,26,M,10,20,,26,
2021,163947289,148623158,2,4,,,,34,31,F,10,20,,31,
2021,151933680,138105090,1,4,,,,59,56,F,10,20,R,56,
2021,154398885,140255698,1,4,,,,21,18,F,10,20,R,18,
2021,152436416,138545481,1,4,,,,20,17,F,10,20,N,17,
2021,163945424,148621481,1,4,,,,22,19,F,10,20,R,19,
2021,154398891,140255704,1,8,,,,104,NS,X,99,50,,,
2021,154398892,140255705,1,5,2,1,,34,31,M,10,20,R,31,
2021,154398886,140255699,1,4,,,,29,26,M,10,20,R,26,
2021,155230266,140983828,1,1,,,,104,NS,X,99,50,,,
2021,155230267,140983828,2,4,,,,52,49,F,10,20,R,49,
2021,155230265,140983827,1,1,,,,104,NS,X,99,50,,,
2021,155230264,140983826,1,4,,,,74,71,M,10,20,R,71,
2021,155230263,140983825,1,8,,,,104,NS,X,99,50,,,
2021,155230261,140983823,1,4,,,,61,58,M,10,20,R,58,
2021,155230262,140983824,1,8,,,,104,NS,X,99,50,,,
2021,163945418,148621476,1,4,,,,55,52,M,10,20,R,52,
2021,163945419,148621476,2,4,,,,41,38,F,10,20,R,38,
2021,155230258,140983821,1,4,,,,41,38,F,10,20,R,38,
2021,155230259,140983821,2,4,,,,55,52,M,10,20,R,52,
2021,163945423,148621480,1,4,,,,103,00,M,10,20,R,,
2021,155230260,140983822,1,4,,,,70,67,F,10,50,R,67,
2021,163945422,148621479,1,4,,,,35,32,F,10,20,R,32,
2021,156741710,142306797,1,4,,,,34,31,M,10,20,N,31,
2021,156741711,142306797,2,4,,,,33,30,M,10,20,N,30,
2021,156741712,142306798,1,1,,,,104,NS,X,99,50,,,
2021,163945431,148621488,1,1,,,,104,NS,X,99,50,,,
2021,163945430,148621487,1,4,,,,21,18,M,10,20,R,18,
2021,163945429,148621486,1,4,,,,58,55,F,10,20,R,55,
2021,163945428,148621485,1,4,,,,18,15,F,10,20,R,15,
2021,163945427,148621484,1,3,,,,104,NS,X,99,50,,,
2021,162801477,147616115,1,1,,,,104,NS,X,99,50,,,
2021,162801478,147616115,2,8,,,,104,NS,X,99,50,,,
2021,160844829,145907694,1,4,,,,41,38,F,10,20,R,38,
2021,160844891,145907739,1,4,,,,41,38,F,10,20,R,38,
2021,163945420,148621477,1,1,,,,104,NS,X,99,50,,,
2021,163945433,148621490,1,4,,,,62,59,M,10,20,,59,
2021,163945434,148621491,1,4,,,,55,52,M,10,50,,45,60
2021,147000099,133786059,1,1,,,,104,NS,X,99,50,,,
2021,152413370,138525140,1,8,,,,104,NS,X,99,50,,,
2021,146996995,133781034,1,1,,,,104,NS,X,99,50,,,
2021,147000101,133786061,1,8,,,,104,NS,X,99,50,,,
2021,147000102,133786062,1,4,,,,41,38,M,10,40,R,38,00
2021,148818457,135338242,1,4,,,,54,51,F,10,40,R,51,00
2021,150074950,136481255,1,4,,,,56,53,M,10,20,R,53,
2021,150074951,136481255,2,4,,,,54,51,M,98,20,R,51,
2021,150074952,136481255,3,4,,,,61,58,M,10,20,R,58,
2021,150074953,136481255,4,4,,,,52,49,F,30,20,N,49,
2021,148811158,135334945,1,4,,,,4,01,F,10,20,R,01,00
2021,150074954,136481256,1,4,,,,61,58,M,10,20,R,58,
2021,152413411,138525174,1,4,,,,64,61,M,10,40,R,61,
2021,150074955,136481257,1,8,,,,104,NS,X,99,50,,,
2021,152413372,138525142,1,4,,,,45,42,F,98,20,R,42,
2021,152413373,138525142,2,4,,,,36,33,M,10,20,R,33,
2021,152413374,138525142,3,4,,,,24,21,M,10,20,R,21,
2021,152413375,138525142,5,4,,,,58,55,M,10,20,R,55,
2021,152413412,138525175,1,8,,,,104,NS,X,99,50,,,
2021,159003795,144291017,7,4,,,,63,60,F,10,20,R,60,
2021,153542320,139508090,1,8,,,,104,NS,X,99,50,,,
2021,159003796,144291018,1,4,,,,69,66,M,10,20,R,66,
2021,152413414,138525177,1,4,,,,19,16,F,10,20,R,16,
2021,152413415,138525178,1,8,,,,104,NS,X,99,50,,,
2021,153542321,139508091,1,8,,,,104,NS,X,99,50,,,
2021,153542322,139508091,2,4,,,,30,27,F,98,20,,27,
2021,155146622,140910920,1,4,,,,77,74,M,10,20,R,74,
2021,153542323,139508092,1,4,,,,78,75,M,10,20,N,75,
2021,153542324,139508093,1,4,,,,72,69,M,10,20,R,69,
2021,153542325,139508094,1,8,,,,104,NS,X,99,50,,,
2021,156131483,141769178,1,4,,,,38,35,F,10,40,R,35,
2021,155146624,140910922,1,4,,,,38,35,M,30,20,N,35,
2021,155146625,140910923,1,8,,,,104,NS,X,99,50,,,
2021,156131484,141769179,1,4,,,,53,50,M,10,20,R,50,
2021,156131485,141769179,2,4,,,,55,52,M,10,20,R,52,
2021,156131486,141769180,1,4,,,,39,36,M,10,20,,36,
2021,157279467,142773536,1,4,,,,28,25,M,10,20,R,25,
2021,157279468,142773536,2,4,,,,3,BB,F,10,20,R,,
2021,156131489,141769182,1,8,,,,104,NS,X,99,50,,,
2021,164073842,148735412,1,4,,,,53,50,M,10,20,R,50,
2021,156131490,141769183,1,8,,,,104,NS,X,99,50,,,
2021,157280229,142774200,1,8,,,,104,NS,X,99,50,,,
2021,157280230,142774201,1,8,,,,104,NS,X,99,50,,,
2021,157280231,142774202,1,4,,,,42,39,M,10,20,R,39,
