data_year,offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,age_range_low_num,age_range_high_num
2021,152300535,134025398,0,104,NS,X,99,50,,
2021,152300534,134025397,1,28,25,M,10,50,25,00
2021,154075054,135605908,1,66,63,F,10,50,63,00
2021,159356150,140255697,1,23,20,M,10,50,20,
2021,154079982,135612860,0,104,NS,X,99,50,,
2021,154079981,135612859,0,104,NS,X,99,50,,
2021,155292348,136677229,1,31,28,M,10,50,28,
2021,156916279,138105092,1,57,54,M,10,50,54,
2021,155292346,136677228,1,43,40,F,10,50,40,
2021,155292347,136677228,2,46,43,M,10,50,43,
2021,159356153,140255700,1,60,57,M,10,50,57,
2021,162118254,142697849,0,104,NS,X,99,50,,
2021,156916282,138105095,1,66,63,M,10,50,63,
2021,159356155,140255702,0,104,NS,X,99,50,,
2021,168802221,148621482,1,103,00,F,10,20,,
2021,168802222,148621482,2,103,00,U,98,40,,
2021,168943903,148745384,0,104,NS,X,99,50,,
2021,157418781,138545478,1,26,23,M,10,50,23,
2021,168804108,148623158,1,29,26,M,10,50,26,
2021,168804109,148623158,2,34,31,F,10,50,31,
2021,156916277,138105090,1,60,57,M,10,50,57,
2021,159356151,140255698,1,41,38,F,10,50,38,
2021,157418784,138545481,1,20,17,M,10,50,17,
2021,168802220,148621481,1,103,00,F,10,50,,
2021,159356157,140255704,1,61,58,M,10,50,58,
2021,159356158,140255705,1,75,72,M,10,50,72,
2021,159356152,140255699,1,34,31,F,10,50,31,
2021,160176965,140983828,0,104,NS,X,99,50,,
2021,160176964,140983827,0,104,NS,X,99,50,,
2021,160176963,140983826,1,61,58,M,10,50,58,
2021,160176961,140983825,1,44,41,F,10,50,41,
2021,160176962,140983825,2,19,16,F,10,50,16,
2021,160176958,140983823,1,63,60,M,10,50,60,
2021,160176959,140983823,2,61,58,M,10,50,58,
2021,160176960,140983824,1,57,54,M,10,50,54,
2021,168802215,148621476,1,20,17,M,10,50,17,
2021,160176956,140983821,1,20,17,M,10,50,17,
2021,168802219,148621480,0,104,NS,X,99,50,,
2021,160176957,140983822,0,104,NS,X,99,50,,
2021,168802218,148621479,1,29,26,M,10,50,26,
2021,161676080,142306797,1,38,35,M,10,50,35,
2021,161676081,142306798,0,104,NS,X,99,50,,
2021,168802228,148621488,1,58,55,M,10,50,55,
2021,168802227,148621487,0,104,NS,X,99,50,,
2021,168802226,148621486,1,39,36,M,10,50,36,
2021,168802225,148621485,1,58,55,M,10,50,55,
2021,168802224,148621484,0,104,NS,X,99,50,,
2021,167669974,147616115,1,61,58,M,10,50,58,
2021,165743943,145907694,1,21,18,M,10,50,18,
2021,165743997,145907739,1,21,18,M,10,50,18,
2021,168802216,148621477,1,68,65,M,10,50,65,
2021,168802230,148621490,0,104,NS,X,99,50,,
2021,168802231,148621491,1,53,50,M,10,50,50,
2021,152030137,133786059,0,104,NS,X,99,50,,
2021,157394759,138525140,1,41,38,M,30,20,38,
2021,157394760,138525140,3,31,28,F,10,20,28,
2021,157394761,138525140,2,32,29,M,30,20,29,
2021,152025981,133781034,0,104,NS,X,99,50,,
2021,152030141,133786061,1,46,43,F,10,50,43,00
2021,152030142,133786062,0,104,NS,X,99,50,,
2021,153805758,135338242,1,17,14,F,10,50,14,00
