data_year,offense_id,incident_id,offense_code,attempt_complete_flag,location_id,num_premises_entered,method_entry_code
2021,161424052,134025398,290,C,25,,
2021,161424051,134025397,11D,C,42,,
2021,163222508,135605908,290,C,35,,
2021,168661349,140255697,220,C,35,,N
2021,163226663,135612860,23H,A,25,,
2021,163226662,135612859,280,C,8,,
2021,164555805,136677229,290,C,14,,
2021,166187139,138105092,270,C,37,,
2021,164555804,136677228,23H,A,17,,
2021,168661352,140255700,290,C,35,,
2021,171455481,142697849,13B,C,35,,
2021,166187142,138105095,13B,C,35,,
2021,168661354,140255702,26E,C,35,,
2021,178229253,148621482,210,C,35,,
2021,178372516,148745384,13A,C,35,,
2021,166696128,138545478,13A,C,35,,
2021,178231162,148623158,13B,C,35,,
2021,166187137,138105090,13C,C,15,,
2021,168661350,140255698,250,C,35,,
2021,166696133,138545481,13C,C,40,,
2021,178229252,148621481,290,C,35,,
2021,168661356,140255704,520,C,8,,
2021,168661357,140255705,13C,C,25,,
2021,168661351,140255699,290,C,35,,
2021,169494139,140983828,23H,C,8,,
2021,169494138,140983827,250,C,7,,
2021,169494137,140983826,280,C,20,,
2021,169494136,140983825,720,C,35,,
2021,169494133,140983823,13B,C,25,,
2021,169494134,140983824,35A,C,25,,
2021,169494135,140983824,35B,C,25,,
2021,178229246,148621476,13C,C,35,,
2021,169494131,140983821,13B,C,35,,
2021,178229251,148621480,240,C,25,,
2021,169494132,140983822,26E,C,35,,
2021,178229250,148621479,13B,C,35,,
2021,171005086,142306797,13C,C,25,,
2021,171005087,142306798,290,C,35,,
2021,178229259,148621488,23H,A,20,,
2021,178229258,148621487,290,C,40,,
2021,178229257,148621486,290,C,25,,
2021,178229256,148621485,11D,C,35,,
2021,178229255,148621484,23H,C,25,,
2021,177080375,147616115,220,C,8,,N
2021,177080376,147616115,35A,C,8,,
2021,175126645,145907694,13B,C,40,,
2021,175126697,145907739,13B,C,35,,
2021,178229247,148621477,23D,C,11,,
2021,178229261,148621490,220,C,20,,N
2021,178229262,148621491,220,C,35,,F
2021,161136977,133786059,220,C,14,,F
2021,166672378,138525140,35A,C,25,,
2021,166672379,138525140,35B,C,25,,
2021,161135047,133781034,220,C,8,,F
2021,161136980,133786061,35B,C,35,,
2021,161136981,133786062,23D,C,20,,
2021,162951864,135338242,13B,C,35,,
2021,164329454,136481255,220,C,34,3,F
2021,164329455,136481255,240,C,34,,
2021,164329456,136481255,280,C,34,,
2021,162945943,135334945,11D,A,35,,
2021,164329457,136481256,220,C,20,,F
2021,166672427,138525174,23D,C,35,,
2021,164329458,136481257,35B,C,35,,
2021,164329459,136481257,35A,C,35,,
2021,166672382,138525142,13B,C,25,,
2021,166672428,138525175,35B,C,25,,
2021,173287447,144291017,23D,C,35,,
2021,167802797,139508090,35A,C,35,,
2021,167802798,139508090,35B,C,35,,
2021,167802799,139508090,520,C,35,,
2021,173287448,144291018,240,C,33,,
2021,166672430,138525177,36B,C,29,,
2021,166672431,138525178,35A,C,25,,
2021,166672432,138525178,35B,C,25,,
2021,167802800,139508091,100,C,25,,
2021,167802801,139508091,35B,C,25,,
2021,169410520,140910920,290,C,21,,
2021,167802802,139508092,220,C,98,,F
2021,167802803,139508093,220,C,35,,F
2021,167802804,139508094,35B,C,25,,
2021,167802805,139508094,35A,C,25,,
2021,167802806,139508094,520,C,25,,
2021,170397206,141769178,13B,C,35,,
2021,169410522,140910922,13B,C,23,,
2021,169410523,140910923,35B,C,25,,
2021,169410524,140910923,35A,C,25,,
2021,170397207,141769179,240,C,20,,
2021,170397208,141769179,23G,C,20,,
2021,170397209,141769180,220,C,27,,F
2021,171543994,142773536,13B,C,35,,
2021,170397211,141769182,35B,C,25,,
2021,170397212,141769182,35A,C,25,,
2021,178360943,148735412,23H,C,35,,
2021,170397213,141769183,35A,C,10,,
2021,170397214,141769183,35B,C,10,,
2021,171544770,142774200,35B,C,25,,
2021,171544771,142774201,35B,C,25,,
2021,171544772,142774201,35A,C,25,,
2021,171544773,142774202,13B,C,35,,
2021,178360947,148735416,13B,C,35,,
2021,180059222,150207815,13A,C,33,,
2021,173287449,144291019,11D,C,35,,
2021,178360930,148735401,100,C,25,,
2021,174890032,145691601,11A,C,35,,
2021,173287450,144291020,35A,C,25,,
2021,173287451,144291020,35B,C,25,,
2021,174890033,145691602,23H,C,1,,
2021,174890034,145691603,13B,C,35,,
2021,174890035,145691604,35A,C,25,,
2021,175868998,146545846,35B,C,25,,
2021,175868999,146545846,35A,C,25,,
2021,178360937,148735407,13B,C,28,,
2021,175869001,146545848,35A,C,25,,
2021,175869002,146545848,35B,C,25,,
2021,178360957,148735424,220,C,8,,N
2021,176155461,146798594,23H,C,41,,
2021,161308621,133936482,35A,C,35,,
2021,161308624,133936485,290,C,35,,
2021,161314246,133933492,520,C,23,,
2021,163217544,135609292,290,C,25,,
2021,163208766,135603530,23H,C,25,,
2021,161314248,133933494,13C,C,35,,
2021,161314247,133933493,23C,C,41,,
2021,163208799,135603557,23D,A,35,,
2021,176155488,146798617,35A,C,26,,
2021,161329165,133951687,13B,C,35,,
2021,161314244,133933490,290,C,39,,
2021,176155456,146798591,23H,C,35,,
2021,163217551,135609296,23H,C,11,,
2021,164445156,136580952,13B,C,35,,
2021,163208781,135603542,13B,C,35,,
2021,163217550,135609295,290,C,25,,
2021,161308617,133936478,250,C,41,,
2021,161308618,133936479,23H,C,41,,
2021,163208796,135603554,23G,C,35,,
2021,161308615,133936476,35A,C,25,,
2021,176155490,146798619,13C,C,15,,
2021,163208790,135603548,13C,C,25,,
2021,163217543,135609291,240,C,25,,
2021,176155480,146798610,720,C,35,,
2021,163217552,135609297,240,C,35,,
2021,164445201,136580993,23H,C,41,,
2021,176155504,146798633,240,C,25,,
2021,176155501,146798630,23H,C,35,,
2021,168073534,139738871,220,C,98,,N
2021,163217548,135609294,35A,C,25,,
2021,163217547,135609294,520,C,25,,
2021,163217549,135609294,35B,C,25,,
2021,163208793,135603551,23F,C,35,,
2021,163217546,135609293,35A,C,35,,
2021,163217545,135609293,35B,C,35,,
2021,163208789,135603547,23F,C,35,,
2021,176155486,146798615,23F,C,25,,
2021,163208794,135603552,13B,C,19,,
2021,163217537,135609286,35A,C,25,,
2021,163217538,135609286,35B,C,25,,
2021,164445196,136580989,13C,C,35,,
2021,164445198,136580991,23H,C,35,,
2021,164445199,136580991,35A,C,35,,
2021,176155482,146798612,290,C,25,,
2021,163217541,135609289,13B,C,35,,
2021,174658964,145493950,250,C,25,,
2021,163217540,135609288,290,C,11,,
2021,163217535,135609284,290,C,24,,
2021,174658961,145493947,23H,C,14,,
2021,174658962,145493948,23H,C,35,,
2021,163208786,135603545,35A,C,25,,
2021,163208787,135603545,35B,C,25,,
2021,163208785,135603545,26A,C,25,,
2021,164445194,136580987,13C,C,40,,
2021,164445188,136580981,26F,C,98,,
2021,174658965,145493951,220,C,35,,F
2021,163217536,135609285,35B,C,33,,
2021,166646173,138503292,35B,C,25,,
2021,166646174,138503292,35A,C,25,,
2021,164445186,136580979,26F,C,35,,
2021,164445184,136580977,13A,C,35,,
2021,164445195,136580988,13B,C,35,,
2021,164445197,136580990,23H,C,35,,
2021,174937019,145733736,250,C,7,,
2021,174937020,145733736,26F,C,7,,
2021,164445193,136580986,13B,C,35,,
2021,164445192,136580985,13A,C,19,,
2021,164445185,136580978,23H,C,35,,
2021,165590605,137583588,23H,C,26,,
2021,164445190,136580983,35A,C,25,,
2021,164445183,136580976,13B,C,14,,
2021,176155496,146798625,220,C,35,,N
2021,164445176,136580969,13B,C,35,,
2021,168073549,139738884,23H,C,26,,
2021,174659071,145494050,26F,C,15,,
2021,176155498,146798627,26F,C,15,,
2021,176155497,146798626,23H,C,35,,
2021,176155495,146798624,240,C,25,,
2021,164445175,136580968,220,C,35,,F
2021,164445160,136580956,13A,C,26,,
2021,164445167,136580962,290,C,12,,
2021,169495068,140984636,23G,C,6,,
2021,168073513,139738853,290,C,25,,
2021,164445169,136580964,23H,C,35,,
2021,164445172,136580967,13B,C,35,,
2021,164445173,136580967,35A,C,35,,
2021,164445174,136580967,35B,C,35,,
2021,164445170,136580965,23H,C,35,,
2021,164445165,136580960,13B,C,35,,
2021,164445163,136580958,13B,C,35,,
2021,164445159,136580955,26E,C,15,,
2021,165590627,137583608,23H,C,41,,
2021,165590628,137583609,13B,C,35,,
2021,164445161,136580957,13B,C,25,,
2021,164445162,136580957,290,C,25,,
2021,176155510,146798639,23H,C,25,,
2021,166646245,138503343,220,C,35,,F
2021,164445158,136580954,13B,C,35,,
2021,176161336,146803785,11D,C,32,,
2021,176155512,146798641,35A,C,41,,
2021,174658984,145493970,23G,C,26,,
2021,176155576,146798696,23D,C,34,,
2021,165596196,137588641,26F,C,15,,
2021,165590626,137583607,26A,C,25,,
2021,165590623,137583605,35B,C,35,,
2021,165590624,137583605,35A,C,35,,
2021,165590625,137583606,13B,C,35,,
2021,170442273,141808621,290,C,25,,
2021,165590617,137583599,13C,C,25,,
2021,170442274,141808622,13B,C,25,,
2021,165590621,137583603,13C,C,35,,
2021,165590614,137583597,23H,C,35,,
2021,169495067,140984635,13C,C,41,,
2021,174658968,145493954,23H,C,35,,
2021,174658969,145493955,13C,C,35,,
2021,166650068,138506678,11D,C,35,,
2021,166650069,138506678,23H,C,35,,
2021,165590607,137583590,290,C,40,,
2021,166646242,138503341,13A,C,25,,
2021,165590604,137583587,23H,C,37,,
2021,169495096,140984661,23H,C,33,,
2021,165590602,137583585,23D,C,35,,
2021,165590609,137583592,35A,C,25,,
2021,165590606,137583589,290,C,98,,
2021,174658966,145493952,13B,C,35,,
2021,166650092,138506699,290,C,25,,
2021,168073514,139738854,35A,C,25,,
2021,168073515,139738854,35B,C,25,,
2021,166650095,138506702,13B,C,35,,
2021,169495073,140984640,26F,C,24,,
2021,166650087,138506694,23H,C,35,,
2021,174658971,145493957,13C,C,25,,
2021,174658972,145493958,11D,C,35,,
2021,168073518,139738857,280,C,21,,
2021,166650086,138506693,220,C,35,,F
2021,166650085,138506692,13B,C,35,,
2021,166650093,138506700,13C,C,35,,
2021,166650090,138506697,13C,C,25,,
2021,168073516,139738855,23H,C,35,,
2021,166650088,138506695,290,C,27,,
2021,166650089,138506696,13C,C,35,,
2021,176155518,146798647,13B,C,35,,
2021,168073517,139738856,13B,C,35,,
2021,166650084,138506691,23C,C,24,,
2021,166650077,138506686,13C,C,25,,
2021,166650078,138506686,290,C,25,,
2021,168073557,139738889,520,C,25,,
2021,169495069,140984637,13B,C,25,,
2021,169495070,140984637,13C,C,25,,
2021,176155515,146798644,290,C,25,,
2021,180077620,150223815,39B,C,8,,
2021,166650075,138506684,290,C,35,,
2021,166649804,138506440,23H,C,33,,
2021,174658970,145493956,290,C,35,,
2021,166650073,138506682,13B,C,35,,
2021,166649806,138506442,23H,C,35,,
2021,166649807,138506442,290,C,35,,
2021,168073552,139738887,290,C,25,,
2021,166650070,138506679,26A,C,32,,
2021,166649805,138506441,35A,C,32,,
2021,166649808,138506443,13B,C,35,,
