data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2021,135376569,63,30,,
2021,136802775,16,1,,
2021,137764518,31,1,,
2021,139002807,21,11,,
2021,140852389,42,500,,
2021,140852390,20,4600,,
2021,148030422,20,100,,
2021,140852387,20,1,,
2021,148030421,38,200,,
2021,140852388,3,1,,
2021,141476881,20,12584,,
2021,141476880,20,20,,
2021,141476878,10,,,
2021,141476878,11,1,,
2021,141476878,16,1,,
2021,148030419,24,6000,2021-07-23,
2021,148030420,24,6000,,
2021,141476877,20,49525,,
2021,142599931,30,1,,
2021,148030426,24,2000,,
2021,148030425,38,1,,
2021,148030424,63,150,,
2021,147166489,10,,,
2021,147166490,2,30,,
2021,148030417,57,500,,
2021,148030428,7,215,,
2021,148030428,13,800,,
2021,148030428,36,585,,
2021,148030428,60,200,,
2021,135154900,20,4400,,
2021,139359841,10,,,
2021,139359841,11,47,,
2021,135159739,20,14020,,
2021,135154902,11,65,,
2021,135154903,12,7564,,
2021,137588316,3,20000,2021-01-25,
2021,137588316,45,500,2021-01-25,
2021,137588317,3,20000,,
2021,137588317,45,500,,
2021,137588318,16,150,,
2021,139359873,36,4065,,
2021,137588319,10,,,
2021,137588319,11,15,,
2021,139359874,11,15,,
2021,144312682,13,389,,
2021,140213937,10,,,
2021,140213937,11,71,,
2021,144312683,24,10000,2021-05-01,
2021,144312683,28,10000,2021-05-01,
2021,144312683,63,500,2021-05-01,
2021,144312684,24,10000,,
2021,144312684,28,10000,,
2021,144312684,63,500,,
2021,139359876,10,,,
2021,139359876,11,30,,
2021,140213939,3,5000,,
2021,140213939,11,2,,
2021,141416736,19,100,,
2021,140213940,36,1200,,
2021,140213940,63,1000,,
2021,140213941,42,10,,
2021,140213942,10,,,
2021,140213942,11,85,,
2021,141416737,10,,,
2021,141416737,11,1,,
2021,142152574,3,240,2021-07-24,
2021,142152575,3,1000,,
2021,142152575,38,500,,
2021,142152576,36,2300,,
2021,142152577,10,,,
2021,142152577,11,5,,
2021,148125423,36,500,,
2021,142152578,10,,,
2021,142152578,11,1,,
2021,143009784,11,55,,
2021,143009785,10,,,
2021,143009785,11,5,,
2021,144312685,10,,,
2021,144312685,11,20,,
2021,145519731,63,800,,
2021,145519732,10,,,
2021,146265325,10,,,
2021,146265325,11,37,,
2021,146265326,10,,,
2021,146265326,11,5,,
2021,148125437,20,11600,,
2021,146469694,9,0,,
2021,137627600,11,1,,
2021,135568913,10,,,
2021,135568913,11,1,,
2021,146469694,51,0,,
2021,135288431,10,,,
2021,147589439,24,1,2021-01-10,
2021,147589440,24,1,,
2021,136571678,11,1,,
2021,135288433,16,25,,
2021,142599940,19,300,,
2021,137627599,11,1,,
2021,136806941,63,160,,
2021,139240169,10,,,
2021,139240169,11,1,,
2021,139240167,10,,,
2021,139240168,10,,,
2021,139240168,11,1,,
2021,140331370,29,1,,
2021,136800650,38,10,,
2021,135291698,8,7,,
2021,146469707,10,,,
2021,142599938,13,1,2021-06-15,
2021,142599939,13,1,,
2021,141733728,19,3000,,
2021,135291696,38,300,,
2021,149667136,10,,,
2021,146469691,10,20,,
2021,136806945,16,1276,,
2021,149667136,11,1,,
2021,141733729,38,1,,
2021,136806945,63,498,,
2021,136806944,38,75,,
2021,142599936,46,1,,
2021,135288427,20,1,,
2021,142599937,16,149,,
2021,135288428,50,37,,
2021,136800671,38,40,,
2021,135288425,10,,,
2021,143009292,38,1,,
2021,143009291,8,58,,
2021,145124136,52,0,,
2021,147589433,8,171,,
2021,147589437,24,1,,
2021,144887697,24,1,,
2021,145124135,24,1,,
2021,145452462,11,1,,
2021,145452461,36,700,,
2021,145452461,38,200,,
2021,146283013,11,1,,
2021,147589434,63,8,,
2021,147589435,24,2019,2021-12-29,
2021,147589436,6,300,,
2021,147589436,24,2019,,
2021,146283012,11,1,,
2021,137583577,10,,,
2021,137583577,11,20,,
2021,136806939,24,5600,2021-01-31,
2021,136806940,24,5600,,
2021,136806947,24,1000,,
2021,137583575,10,,,
2021,137583574,10,,,
2021,137583573,10,,,
2021,137583573,11,20,,
2021,137583571,10,,,
2021,137583571,11,20,,
2021,137583572,63,1,,
2021,137583570,10,,,
2021,137583570,11,20,,
2021,137583569,10,,,
2021,137583569,11,20,,
2021,136806946,24,1000,2021-02-02,
2021,137678721,50,30,,
2021,137583576,10,,,
2021,137583576,11,20,,
2021,137583578,10,,,
2021,137583578,11,20,,
2021,137583579,10,,,
2021,146469719,24,5000,,
2021,139259857,19,500,2021-03-24,
2021,139259858,19,500,,
2021,139259863,10,,,
2021,139259863,11,20,,
2021,139259859,11,20,,
2021,139259864,10,,,
2021,139259864,11,20,,
2021,139259862,10,,,
2021,139259862,11,20,,
2021,139259860,63,1000,2021-05-18,
2021,139259861,63,1000,,
2021,146469719,51,0,,
2021,146469718,20,100,,
2021,140416077,20,8878,,
2021,136806943,10,,,
2021,136806943,11,8,,
2021,136806943,13,500,,
2021,136806943,20,2976,,
2021,136806943,61,300,,
2021,136800669,19,25,,
2021,136800669,36,150,,
2021,136800669,47,0,,
2021,140990273,10,,,
2021,140990276,10,,,
2021,140990274,63,0,,
2021,136800669,63,30,,
2021,136806942,10,,,
2021,136806942,11,2,,
2021,136800667,63,800,,
2021,146469706,36,1016,,
2021,143652181,63,1,,
2021,142927886,10,,,
2021,142927885,10,,,
2021,142927884,10,,,
2021,142927887,10,,,
2021,136806936,10,,,
2021,136806936,11,2,,
2021,137678717,8,1,2021-02-22,
2021,137678717,9,0,2021-02-22,
2021,137678717,16,1,2021-02-22,
2021,137678717,25,5,2021-02-22,
2021,137678717,47,0,2021-02-22,
2021,137678717,51,0,2021-02-22,
2021,137678718,10,,,
2021,137678719,8,1,,
2021,137678719,9,0,,
2021,137678719,16,1,,
2021,137678719,20,30,,
2021,137678719,25,5,,
2021,137678719,47,0,,
2021,137678719,51,0,,
2021,146469704,38,500,,
2021,145347922,20,1,,
2021,148003549,10,,,
2021,148003549,11,5,,
2021,148003556,10,,,
