data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2021,5,141476878,0.500,3,11681980
2021,5,147166489,2.400,1,12491387
2021,16,139359841,0.001,1,11356750
2021,3,139359841,0.001,1,11356751
2021,12,137588319,2.000,9,11060370
2021,12,140213937,3.000,1,11498245
2021,8,140213937,8.000,9,11498246
2021,5,139359876,0.070,3,11356767
2021,12,140213942,0.070,3,11498248
2021,12,141416737,439.980,1,11672396
2021,12,142152577,1.000,4,11785370
2021,4,142152578,0.100,1,11785371
2021,5,143009785,2.500,1,11909297
2021,5,144312685,2.000,9,12099193
2021,5,144312685,0.169,3,12099194
2021,5,145519732,3.260,1,12269814
2021,5,146265325,0.500,3,12372016
2021,5,146265326,1.000,3,12372017
2021,17,135288431,3.000,3,6790597
2021,12,146469707,0.500,3,12398407
2021,5,135288425,0.250,3,9589629
2021,12,136806943,1.000,3,7664239
2021,5,136806942,0.080,3,6930682
2021,5,136806936,2.000,1,6930011
2021,16,137678718,3.000,9,11072117
2021,13,137678718,1.000,9,11072118
2021,5,136800664,0.250,3,10195728
2021,17,136800664,0.000,1,10195729
2021,12,136800664,13.500,1,10195730
2021,12,139340244,0.500,1,11353282
2021,12,137678714,2.500,1,11072116
2021,12,137678699,0.050,3,11072115
2021,12,146469722,1.100,1,12398408
2021,12,138552325,1.000,1,11216681
2021,5,138552318,3.000,1,11216678
2021,16,138552318,1.000,9,11216679
2021,17,140416064,1.000,5,11528124
2021,5,139342842,1.000,1,11353793
2021,5,140416086,1.000,1,11528126
2021,5,140416080,0.500,1,11528125
2021,5,141477586,4.000,10,11682122
2021,5,148001728,0.500,1,12607101
2021,5,142185862,0.010,3,11789442
2021,5,148001741,10.000,1,12607105
2021,12,148001741,1.000,9,12607106
2021,5,148001730,1.000,1,12607102
2021,12,148001730,0.500,1,12607103
2021,12,146473331,0.250,1,12398494
2021,5,146469790,1.000,10,12398410
2021,5,146469790,1.000,1,12398411
2021,12,146469790,1.000,1,12398412
2021,5,144292870,0.010,3,12094716
2021,8,145347963,0.020,1,12241522
2021,5,145347962,1.900,1,12241521
2021,4,145347960,4.000,1,12241520
2021,5,145347945,5.000,1,12241519
2021,5,146473307,0.100,3,12398492
2021,8,146473307,1.000,9,12398493
2021,5,146473297,0.250,3,12398490
2021,5,146473291,3.000,1,12398489
2021,5,146473299,0.500,1,12398491
2021,12,146473288,3.700,1,12398488
2021,17,146472671,1.000,1,12398483
2021,12,146472668,1.000,1,12398482
2021,5,148001749,8.000,1,12607109
2021,12,136802777,1.000,1,10356432
2021,12,141431336,1.000,1,11675133
2021,12,149415299,0.001,1,12804720
2021,5,149415298,0.001,1,12804719
2021,5,149415297,0.001,1,12804718
2021,5,135275299,1.000,1,10251170
2021,12,141355287,3.000,1,11664459
2021,14,141355289,11.000,9,11664460
2021,5,135271771,2.000,1,7776015
2021,5,137625413,1.000,1,11066453
2021,12,136569246,1.000,1,10496177
2021,12,140332634,0.001,9,11516762
2021,5,140332641,1.000,1,11516763
2021,12,140332645,1.000,1,11516764
2021,5,141355295,2.760,3,11664462
2021,5,143007217,18.500,1,11908797
2021,5,139073742,4.930,1,11301871
2021,5,136898194,70.000,9,7042172
2021,5,136898194,14.000,1,7042173
2021,16,141493906,29.000,9,11684526
2021,5,141493909,0.999,3,11684528
2021,12,142532356,2.500,1,11838387
2021,5,143545799,0.001,1,11993641
2021,5,145554063,0.001,1,12274457
2021,5,135513276,7.000,1,10186034
2021,12,135513274,0.500,1,9864246
2021,5,136802786,1129.000,1,10342939
2021,5,136802785,14.000,1,10228785
2021,5,144362236,4.000,1,12105597
2021,5,140213935,3.000,1,11498244
2021,16,140213934,78.000,1,11498241
2021,5,140213934,26.700,1,11498242
2021,2,140213934,0.500,1,11498243
2021,5,140213931,14.000,1,11498240
2021,5,140213927,3.000,1,11498237
2021,5,140213930,14.000,1,11498238
2021,12,140213930,5.000,1,11498239
2021,5,140213926,7.700,1,11498236
2021,5,140213924,7.730,1,11498234
2021,12,140213924,1.530,1,11498235
2021,5,140213923,1708.030,2,11498233
2021,5,140213922,45.000,1,11498232
2021,5,141428320,12.000,1,11674616
2021,12,141428320,1.000,1,11674617
2021,5,136583251,16.920,1,8928799
2021,5,135568913,4.530,1,7023024
2021,12,139240169,0.250,1,11333767
2021,12,135710400,1.000,1,10941079
2021,5,139240167,23.180,1,11333765
2021,5,139240168,7.490,1,11333766
