data_year,nibrs_month_id,agency_id,month_num,inc_data_year,reported_status,report_date,update_flag,orig_format,data_home,ddocname,did,month_pub_status
2021,20490445,11696,1,2021,I,,,X,,2021_01_ND0010000_AD-21-00001_INC,93919981,
2021,20490445,11696,1,2021,I,,,X,,2021_01_ND0010000_AD-21-00010_INC,93919978,
2021,20490446,11696,2,2021,I,,,X,,2021_02_ND0010000_AD-21-00018_INC,97182195,
2021,20490445,11696,1,2021,I,,,X,,2021_01_ND0010000_AD-21-00019_INC,107468184,
2021,20490446,11696,2,2021,I,,,X,,2021_02_ND0010000_AD-21-00021_INC,97181347,
2021,20490446,11696,2,2021,I,,,X,,2021_02_ND0010000_AD-21-00023_INC,97181344,
2021,20490446,11696,2,2021,I,,,X,,2021_02_ND0010000_AD-21-00031_INC,99664886,
2021,20490446,11696,2,2021,I,,,X,,2021_02_ND0010000_AD-21-00046_INC,102502638,
2021,40276245,11696,3,2021,I,,,X,,2021_03_ND0010000_AD-21-00049_INC,99664883,
2021,40276245,11696,3,2021,I,,,X,,2021_03_ND0010000_AD-21-00051_INC,107468193,
2021,40276245,11696,3,2021,R,,,X,,2021_03_ND0010000_AD-21-00053_INC,112871135,
2021,40276245,11696,3,2021,I,,,X,,2021_03_ND0010000_AD-21-00057_INC,102502650,
2021,40276245,11696,3,2021,I,,,X,,2021_03_ND0010000_AD-21-00059_INC,107468200,
2021,40276245,11696,3,2021,R,,,X,,2021_03_ND0010000_AD-21-00061_INC,126980838,
2021,40276245,11696,3,2021,R,,,X,,2021_03_ND0010000_AD-21-00066_INC,127351865,
2021,40289757,11696,4,2021,R,,,X,,2021_04_ND0010000_AD-21-00068_INC,103557729,
2021,40289757,11696,4,2021,R,,,X,,2021_04_ND0010000_AD-21-00070_INC,126987104,
2021,40289757,11696,4,2021,I,,,X,,2021_04_ND0010000_AD-21-00073_INC,102502632,
2021,40295411,11696,5,2021,I,,,X,,2021_05_ND0010000_AD-21-00080_INC,107468187,
2021,40295411,11696,5,2021,I,,,X,,2021_05_ND0010000_AD-21-00081_INC,103557738,
2021,40295411,11696,5,2021,I,,,X,,2021_05_ND0010000_AD-21-00087_INC,126980835,
2021,40295411,11696,5,2021,I,,,X,,2021_05_ND0010000_AD-21-00096_INC,107468205,
2021,40311380,11696,6,2021,I,,,X,,2021_06_ND0010000_AD-21-00098_INC,107468208,
2021,40311380,11696,6,2021,I,,,X,,2021_06_ND0010000_AD-21-00103_INC,107468190,
2021,40311380,11696,6,2021,I,,,X,,2021_06_ND0010000_AD-21-00105_INC,109051299,
2021,40311380,11696,6,2021,I,,,X,,2021_06_ND0010000_AD-21-00115_INC,109051296,
2021,40317777,11696,7,2021,I,,,X,,2021_07_ND0010000_AD-21-00120_INC,109051293,
2021,40317777,11696,7,2021,I,,,X,,2021_07_ND0010000_AD-21-00122_INC,109051290,
2021,40317777,11696,7,2021,I,,,X,,2021_07_ND0010000_AD-21-00124_INC,109051284,
2021,40317777,11696,7,2021,I,,,X,,2021_07_ND0010000_AD-21-00125_INC,109051287,
